Symbols,Price,IsUptrend,AboveMA,Yearly_Profit_20%,Quarterly_Profit_Growth,Revenue_Growth,EPS_Growth,Symptoms_Count
AACT,10.95,TRUE,TRUE,y_no_gp,q_no_gp,insufficient,FALSE,2
AAT,25.42,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2
AB,35.52,TRUE,TRUE,y_no_gp,q_no_gp,FALSE,FALSE,2
ABCB,61.95,TRUE,TRUE,y_no_gp,q_no_gp,FALSE,FALSE,2
ABG,243.86,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2
ABM,51.14,TRUE,TRUE,y_no_gp,q_no_gp,FALSE,FALSE,2
ABT,112.42,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2
AC,35.01,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2
ACA,99.08,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2
ACCO,5.43,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2
ACEL,10.73,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2
ACM,107.04,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2
ADX,20.04,TRUE,TRUE,y_no_gp,q_no_gp,FALSE,cant_fetch,2
AEE,88.57,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2
AEM,77.36,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2
AER,93.08,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2
AFG,136.46,TRUE,TRUE,y_no_gp,q_no_gp,FALSE,FALSE,2
AGL,1.88,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,2
AGM,199.29,TRUE,TRUE,y_no_gp,q_no_gp,FALSE,FALSE,2
AGR,35.73,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2
AGS,11.49,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2
AGX,139.48,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2
AHR,27.21,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2
AI,35.45,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2
AIO,23.64,TRUE,TRUE,y_no_gp,q_no_gp,FALSE,cant_fetch,2
AIT,243.45,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2
AIZ,208.44,TRUE,TRUE,y_no_gp,q_no_gp,FALSE,FALSE,2
AJG,279.09,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2
AKR,23.97,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2
ALE,64.6,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2
